idCompra;idItemCompra;forma;modalidade;criterioJulgamento;numeroItemCompra;descricaoItem;codigoItemCatalogo;nomeUnidadeMedida;siglaUnidadeMedida;nomeUnidadeFornecimento;siglaUnidadeFornecimento;capacidadeUnidadeFornecimento;quantidade;precoUnitario;percentualMaiorDesconto;niFornecedor;nomeFornecedor;marca;codigoUasg;nomeUasg;codigoMunicipio;municipio;estado;codigoOrgao;nomeOrgao;poder;esfera;dataCompra;dataHoraAtualizacaoCompra;dataHoraAtualizacaoItem;dataResultado;dataHoraAtualizacaoUasg;codigoClasse;nomeClasse
12062805000832023;4266887;SISRP;5;V;131;METRONIDAZOL, DOSAGEM: 5MG/ML , APRESENTAÇÃO: SOLUÇÃO INJETÁVEL ;268498;null;ML;FRASCO;FR;100,00;1.650,00;6,91;0,00;28387424000170;M MED COMERCIAL DE MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA;""METRONIDAZOL 5 MG/M;120628;GRUPAMENTO DE APOIO DE BELÉM;1501402;BELÉM;PA;52111;COMANDO DA AERONÁUTICA;E;F;2023-12-22 00:00:00.0;2024-12-23T03:29:59.892770;2024-12-23T03:59:59.884723;2023-12-22 00:00:00.0;2025-09-01T09:25;6505;DROGAS E MEDICAMENTOS
92977005900422024;7348971;SISRP;5;V;98;ONDANSETRONA CLORIDRATO, DOSAGEM: 2 MG/ML, INDICAÇÃO: INJETÁVEL ;268504;null;ML;AMPOLA;AM;4,00;10.000,00;0,97;0,00;35959514000153;TOLESUL DISTRIBUIDORA DE MEDICAMENTOS LTDA;ONDANSETRONA CLOR ";;929770;MMS-FUNDAÇÃO DE SERVICOS DE SAÚDE DE DOURADOS;5003702;DOURADOS;MS;85480;MMS-FUNDAÇÃO DE SERVICOS DE SAÚDE DE DOURADOS;E;M;2025-01-28 00:00:00.0;2025-01-29T02:00:09.010685;2025-01-29T03:02:32.105892;2025-01-28 00:00:00.0;2025-02-28T15:20;6505;DROGAS E MEDICAMENTOS
98884105900052024;4770760;SISRP;5;V;29;ONDANSETRONA CLORIDRATO, DOSAGEM: 2 MG/ML, INDICAÇÃO: INJETÁVEL ;268504;null;ML;AMPOLA;AM;4,00;15.000,00;1,83;0,00;43607262000121;INPHARMA HOSPITALAR LTDA;ONDANSETRONA CLOR ";;988841;PREFEITURA MUNICIPAL DE SANTA MARIA/RS;4316907;SANTA MARIA;RS;96437;PREFEITURA DE SANTA MARIA/RS;E;M;2024-04-03 00:00:00.0;2025-04-04T03:29:59.107164;2025-04-04T03:59:59.112533;2024-04-03 00:00:00.0;2023-02-22T16:30;6505;DROGAS E MEDICAMENTOS
16014905000082023;4943591;SISRP;5;V;140;ONDANSETRONA CLORIDRATO, DOSAGEM: 2 MG/ML, INDICAÇÃO: INJETÁVEL ;268504;null;ML;AMPOLA;AM;4,00;800,00;1,88;0,00;43607262000121;INPHARMA HOSPITALAR LTDA;ONDANSETRONA CLOR ";;160149;MEX-COMANDO 4.BRIGADA CAVALARIA MECANIZADA/MS;5003702;DOURADOS;MS;52121;COMANDO DO EXERCITO;E;F;2024-05-06 00:00:00.0;2025-05-07T03:29:59.914592;2025-05-07T03:59:59.899563;2024-05-06 00:00:00.0;2025-09-04T16:16;6505;DROGAS E MEDICAMENTOS
16036505000082023;5156842;SISRP;5;V;157;ONDANSETRONA CLORIDRATO, DOSAGEM: 2 MG/ML, INDICAÇÃO: INJETÁVEL ;268504;null;ML;AMPOLA;AM;4,00;2.600,00;1,88;0,00;43607262000121;INPHARMA HOSPITALAR LTDA;ONDANSETRONA CLOR ";;160365;HOSPITAL DE GUARNICAO DE BAGE/RS;4301602;BAGÉ;RS;52121;COMANDO DO EXERCITO;E;F;2024-06-25 00:00:00.0;2025-06-26T03:30:00.002418;2025-06-26T04:00:00.023734;2024-06-25 00:00:00.0;2025-09-18T08:34;6505;DROGAS E MEDICAMENTOS
8000706000532025;7971111;SISPP;6; ;2;LIDOCAÍNA CLORIDRATO, COMPOSIÇÃO: ASSOCIADA COM EPINEFRINA , DOSAGEM: 2% + 1:100.000 , APRESENTAÇÃO: INJETÁVEL ;269851;null;ML;TUBETE;TBTE;1,80;8,00;145,87;0,00;02477571000147;DENTAL MED SUL ARTIGOS ODONTOLOGICOS LTDA;";;080007;TRIBUNAL REGIONAL DO TRABALHO DA 5A.REGIAO;2927408;SALVADOR;BA;15000;JUSTICA DO TRABALHO;L;F;2025-04-14 00:00:00.0;2025-04-16T02:15:23.286673;2025-04-16T03:20:31.813767;2025-04-14 00:00:00.0;2025-09-01T10:00;6505;DROGAS E MEDICAMENTOS
38022606000612024;6366081;SISPP;6; ;2;ÁLCOOL ETÍLICO, TIPO: HIDRATADO , TEOR ALCOÓLICO: 70%_(70°GL) , APRESENTAÇÃO: LÍQUIDO ;269941;null;L;GALÃO;GL;5,00;60,00;11,00;0,00;23460299000162;OK DENTAL COMERCIO DE MATERIAIS ODONTO MEDICO E HOSPITALAR LTDA.;alcool;380226;ESP-CTO.DET.PROV.""ASP CHARLES D.TEIXEIRA" PG;3541000;PRAIA GRANDE;SP;95602;ESP-SECRETARIA ADMINISTRACAO PENITENCIARIA;E;E;2024-10-16 00:00:00.0;2024-10-19T08:03:19.889360;2024-10-19T17:11:24.113192;2024-10-16 00:00:00.0;2024-03-25T15:15;6505;DROGAS E MEDICAMENTOS"
98742705000602023;4131400;SISRP;5;V;11;ÁLCOOL ETÍLICO, TIPO: HIDRATADO , TEOR ALCOÓLICO: 70%_(70°GL) , APRESENTAÇÃO: LÍQUIDO ;269941;null;ML;FRASCO;FR;100,00;1.000,00;55,09;0,00;41550166000169;CURAMED - PRODUTOS HOSPITALARES LTDA;RMS"; 3569100010011;987427;PREFEITUA MUNICIPAL DE ARAPONGAS - PR;4101507;ARAPONGAS;PR;97919;PREFEITURA DE ARAPONGAS - PR;E;M;2023-12-15 00:00:00.0;2024-12-16T03:29:59.874468;2024-12-16T03:59:59.870304;2023-12-15 00:00:00.0;2023-06-16T15:04;6505;DROGAS E MEDICAMENTOS
98696905902642024;8200532;SISRP;5;V;4;ÁLCOOL ETÍLICO, TIPO: HIDRATADO , TEOR ALCOÓLICO: 70%_(70°GL) , APRESENTAÇÃO: LÍQUIDO ;269941;null;ML;FRASCO;FR;1.000,00;60,00;5,31;0,00;04063331000121;CIRURGICA UNIAO LTDA;""ALCOOL"; Tipo: Etíli;986969;PREFEITURA MUNICIPAL DE RIBEIRAO PRETO - SP;3543402;RIBEIRÃO PRETO;SP;95611;PREFEITURA DE RIBEIRÃO PRETO;E;M;2025-05-13 00:00:00.0;2025-05-14T01:10:12.289168;2025-05-14T03:00:26.641166;2025-05-13 00:00:00.0;2023-06-15T15:11;6505;DROGAS E MEDICAMENTOS
98696905902642024;8200533;SISRP;5;V;5;ÁLCOOL ETÍLICO, TIPO: HIDRATADO , TEOR ALCOÓLICO: 70%_(70°GL) , APRESENTAÇÃO: GEL ;269943;null;L;GALÃO;GL;5,00;18,00;33,38;0,00;04063331000121;CIRURGICA UNIAO LTDA;""ALCOOL"; Tipo: Gel e;986969;PREFEITURA MUNICIPAL DE RIBEIRAO PRETO - SP;3543402;RIBEIRÃO PRETO;SP;95611;PREFEITURA DE RIBEIRÃO PRETO;E;M;2025-05-13 00:00:00.0;2025-05-14T01:10:12.289168;2025-05-14T03:00:26.672742;2025-05-13 00:00:00.0;2023-06-15T15:11;6505;DROGAS E MEDICAMENTOS
98013905900682025;9253997;SISRP;5;V;2;ÁLCOOL ETÍLICO, TIPO: HIDRATADO , TEOR ALCOÓLICO: 70%_(70°GL) , APRESENTAÇÃO: GEL ;269943;null;;LITRO;L;0,00;1.125,00;7,69;0,00;14869791000103;PAPELARIA MUNDO IMPORTACAO E EXPORTACAO LTDA;Álcool etílico"; 70%";;980139;PREFEITURA MUNICIPAL DE RIO BRANCO - AC;1200401;RIO BRANCO;AC;93127;AC - REFEITURA MUNICIPAL DE RIO BRANCO;E;M;2025-08-27 00:00:00.0;2025-08-28T01:10:09.697819;2025-08-28T03:02:45.745526;2025-08-27 00:00:00.0;2024-11-27T12:58;6505;DROGAS E MEDICAMENTOS
10230505900012024;5410278;SISRP;5;V;6;PERÓXIDO DE HIDROGÊNIO (ÁGUA OXIGENADA), TIPO: 10 VOLUMES ;277319;null;ML;FRASCO;FR;1.000,00;110,00;5,56;0,00;04063331000121;CIRURGICA UNIAO LTDA;""Água oxigenada"; cat;102305;ESP-UNESP-FACUL.DE ODONTOLOGIA-C.ARARAQUARA;3503208;ARARAQUARA;SP;95571;ESP-UNIV EST PAUL.JULIO MESQ.FILHO-UNESP;E;E;2024-07-17 00:00:00.0;2025-07-18T03:30:00.002446;2025-07-18T04:00:00.003681;2024-07-17 00:00:00.0;2024-03-14T14:16;6505;DROGAS E MEDICAMENTOS
98709105000042023;2395545;SISRP;5;V;225;ESTRADIOL, APRESENTAÇÃO: TRATAMENTO HORMONAL BIFÁSICO , COMPOSIÇÃO: 1ªFASE: ESTRADIOL"; 2ªFASE:ESTRADIOL + NORGESTIMATO , CONCENTRAÇÃO: 1 MG "; 1 MG + 90 MCG;296594;null;ML;AMPOLA;AM;1,00;1.350,00;22,00;0,00;76386283000113;DIMEVA DISTRIBUIDORA E IMPORTADORA LTDA;GENERICO;987091;PREFEITURA MUNICIPAL S.JOSE DA BELA VISTA-SP;3549508;SÃO JOSÉ DA BELA VISTA;SP;95720;PREFEITURA MUNICIPAL S.JOSE DA BELA VISTA-SP;E;M;2023-03-08 00:00:00.0;2024-03-09T03:30:00.000457;2024-03-09T04:00:00.003059;2023-03-08 00:00:00.0;2024-04-01T16:02;6505;DROGAS E MEDICAMENTOS
98659505000302022;686145;SISRP;5;V;39;ESTRADIOL, APRESENTAÇÃO: TRATAMENTO HORMONAL BIFÁSICO , COMPOSIÇÃO: 1ªFASE: ESTRADIOL"; 2ªFASE: ESTRADIOL + CIPROTERONA , CONCENTRAÇÃO: 2 MG "; 2 MG + 1 MG;296676;null;;COMPRIMIDO;COMPR;0,00;2.200,00;1,28;0,00;07654936000185;L A DOS SANTOS DISTRIBUIDORA DE MEDICAMENTOS;SUPREMA;986595;PREFEITURA MUNICIPAL DE JAGUARIUNA - SP;3524709;JAGUARIÚNA;SP;95872;PREFEITURA MUNICIPAL DE JAGUARIUNA - SP;E;M;2022-04-19 00:00:00.0;2023-04-20T03:30:00.050063;2023-04-20T04:00:00.048259;2022-04-19 00:00:00.0;2024-03-24T15:14;6505;DROGAS E MEDICAMENTOS
94300105004092023;2703291;SISRP;5;V;7;ESTRADIOL, APRESENTAÇÃO: TRATAMENTO HORMONAL BIFÁSICO , COMPOSIÇÃO: 1ªFASE: ESTRADIOL"; 2ªFASE: ESTRADIOL + CIPROTERONA , CONCENTRAÇÃO: 2 MG "; 2 MG + 1 MG;296676;null;;COMPRIMIDO;COMPR;0,00;44.000,00;1,29;0,00;60665981000975;UNIAO QUIMICA FARMACEUTICA NACIONAL S A;CLIMENE;943001;GOVERNO DO ESTADO DO CEARÁ;2304400;FORTALEZA;CE;86940;GOVERNO DO ESTADO DO CEARÁ;E;E;2023-04-26 00:00:00.0;2024-04-27T03:29:59.102090;2024-04-27T03:59:59.083111;2023-04-26 00:00:00.0;2025-06-17T11:15;6505;DROGAS E MEDICAMENTOS
98756305900042025;7605416;SISRP;5;V;73;ESTRADIOL, APRESENTAÇÃO: TRATAMENTO HORMONAL BIFÁSICO , COMPOSIÇÃO: 1ªFASE: ESTRADIOL"; 2ªFASE: ESTRADIOL + CIPROTERONA , CONCENTRAÇÃO: 2 MG "; 2 MG + 1 MG;296676;null;;COMPRIMIDO;COMPR;0,00;8.400,00;1,48;0,00;81706251000198;PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA;CLIMENE;987563;PREFEITURA MUNICIPAL DE FOZ DO IGUAÇU - PR;4108304;FOZ DO IGUAÇU;PR;97924;PREFEITURA DE FOZ DO IGUAÇU - PR;E;M;2025-02-28 00:00:00.0;2025-03-01T02:00:13.300942;2025-03-01T03:01:47.442485;2025-02-28 00:00:00.0;2023-06-16T15:04;6505;DROGAS E MEDICAMENTOS
98756305900182024;5291716;SISRP;5;V;16;ESTRADIOL, APRESENTAÇÃO: TRATAMENTO HORMONAL BIFÁSICO , COMPOSIÇÃO: 1ªFASE: ESTRADIOL"; 2ªFASE: ESTRADIOL + CIPROTERONA , CONCENTRAÇÃO: 2 MG "; 2 MG + 1 MG;296676;null;;COMPRIMIDO;COMPR;0,00;21.000,00;1,74;0,00;42529374000149;DISTRIBUIDORA DE MEDICAMENTOS INTRAMED LTDA;CLIMENE;987563;PREFEITURA MUNICIPAL DE FOZ DO IGUAÇU - PR;4108304;FOZ DO IGUAÇU;PR;97924;PREFEITURA DE FOZ DO IGUAÇU - PR;E;M;2024-07-02 00:00:00.0;2025-07-03T03:30:00.003914;2025-07-03T04:00:00.013981;2024-07-02 00:00:00.0;2023-06-16T15:04;6505;DROGAS E MEDICAMENTOS
92512006001392024;6223210;SISPP;6; ;3;ESTRADIOL, APRESENTAÇÃO: TRATAMENTO HORMONAL TRIFÁSICO"; 1ª FASE: ESTRADIOL , COMPOSIÇÃO: 2ªFASE:ESTRADIOL + NORETISTERONA,3ª FASE:ESTRADIOL , CONCENTRAÇÃO: 2 MG"; 2 MG + 1 MG"; 1 MG;305643;null;;COMPRIMIDO;COMPR;0,00;196,00;1,44;0,00;02066809000141;FARMACIA CIBIEN;SUPREMA CX C/28 COMPRIMIDOS;925120;EES-SECRETARIA DE ESTADO DA SAUDE;3205309;VITÓRIA;ES;99469;EES-SECRETARIA ESTADUAL DA SAUDE;E;E;2024-05-14 00:00:00.0;2025-05-15T03:29:59.999921;2025-05-16T04:00:00.015666;2024-05-15 00:00:00.0;2025-04-06T10:45;6505;DROGAS E MEDICAMENTOS
98417305900742024;6395030;SISRP;5;V;52;ESTRADIOL, APRESENTAÇÃO: TRATAMENTO HORMONAL BIFÁSICO , COMPOSIÇÃO: 1ªFASE:ESTRADIOL + NORETISTERONA,2ª FASE:ESTRADIOL , CONCENTRAÇÃO: 50 MCG + 250 MCG"; 50 MCG, FORMA FARMACÊUTICA: ADESIVO TRANSDÉRMICO ;307737;null;ML;AMPOLA;AM;1,00;100,00;8,46;0,00;16586871000250;SINERGIA MEDICAMENTOS LTDA;NORETISTERONA 50MG+E;984173;PREFEITURA MUNICIPAL DE BRAS PIRES - MG;3108701;BRÁS PIRES;MG;99583;PREFEITURA MUNICIPAL DE BRAS PIRES - MG;E;M;2024-10-22 00:00:00.0;2024-10-23T02:00:07.114775;2024-10-23T03:02:29.718566;2024-10-22 00:00:00.0;2024-10-06T11:09;6505;DROGAS E MEDICAMENTOS
92749505001462022;2468735;SISRP;5;V;182;ESTRADIOL, APRESENTAÇÃO: TRATAMENTO HORMONAL BIFÁSICO , COMPOSIÇÃO: 1ªFASE:ESTRADIOL + NORETISTERONA,2ª FASE:ESTRADIOL , CONCENTRAÇÃO: 50 MCG + 250 MCG"; 50 MCG, FORMA FARMACÊUTICA: ADESIVO TRANSDÉRMICO ;307737;null;UN;EMBALAGEM;EMB;1,00;50,00;114,70;0,00;14905502000176;EXCLUSIVA DISTRIBUIDORA DE MEDICAMENTOS LTDA;THERAMAX;927495;FUNDO MUNICIPAL DE SAUDE DE MARABA - PA;1504208;MARABÁ;PA;98847;PREFEITURA MUNICIPAL DE MARABÁ - PA;E;M;2023-03-21 00:00:00.0;2024-03-22T03:30:00.002886;2024-03-22T04:00:00.004302;2023-03-21 00:00:00.0;2024-06-13T10:45;6505;DROGAS E MEDICAMENTOS
92580905900092025;7953315;SISPP;5;D;14;ESTRADIOL, APRESENTAÇÃO: TRATAMENTO HORMONAL BIFÁSICO , COMPOSIÇÃO: 1ªFASE:ESTRADIOL + NORETISTERONA,2ª FASE:ESTRADIOL , CONCENTRAÇÃO: 50 MCG + 250 MCG"; 50 MCG, FORMA FARMACÊUTICA: ADESIVO TRANSDÉRMICO ;307737;null;UN;EMBALAGEM;EMB;1,00;50,00;17,23;2,50;09529639000133;SOUZA FRANCO & OLIVEIRA LTDA;BYOSIS;925809;EPA - POLÍCIA MILITAR DO PARÁ;1501402;BELÉM;PA;99637;EPA - POLÍCIA MILITAR DO PARÁ;E;E;2025-04-14 00:00:00.0;2025-04-15T02:00:19.416035;2025-04-15T03:04:16.184202;2025-04-14 00:00:00.0;2024-10-06T11:09;6505;DROGAS E MEDICAMENTOS
98417305900582024;5703242;SISRP;5;V;53;ESTRADIOL, APRESENTAÇÃO: TRATAMENTO HORMONAL BIFÁSICO , COMPOSIÇÃO: 1ªFASE:ESTRADIOL + NORETISTERONA,2ª FASE:ESTRADIOL , CONCENTRAÇÃO: 50 MCG + 250 MCG"; 50 MCG, FORMA FARMACÊUTICA: ADESIVO TRANSDÉRMICO ;307737;null;ML;AMPOLA;AM;1,00;100,00;15,12;0,00;50876659000184;DROGARIA MARQUES & PALMA LTDA;Eurofarma;984173;PREFEITURA MUNICIPAL DE BRAS PIRES - MG;3108701;BRÁS PIRES;MG;99583;PREFEITURA MUNICIPAL DE BRAS PIRES - MG;E;M;2024-08-26 00:00:00.0;2025-08-27T03:30:00.003301;2025-08-27T04:00:00.016773;2024-08-26 00:00:00.0;2024-10-06T11:09;6505;DROGAS E MEDICAMENTOS
16013605000312022;1650463;SISRP;5;V;120;ÁLCOOL ETÍLICO, TEOR ALCOÓLICO: 70% V/V , COMPOSIÇÃO BÁSICA: COM EMOLIENTE , FORMA FARMACÊUTICA: GEL ;380018;null;ML;FRASCO;FR;1.000,00;2.000,00;7,46;0,00;41738390000189;PL MED PRODUTOS HOSPITALARES LTDA;cleanner ";3307700240;160136;9º GRUPAMENTO LOGISTICO;5002704;CAMPO GRANDE;MS;52121;COMANDO DO EXERCITO;E;F;2022-10-20 00:00:00.0;2023-10-21T03:30:00.001901;2023-10-21T04:00:00.005904;2022-10-20 00:00:00.0;2025-08-22T11:09;6505;DROGAS E MEDICAMENTOS
10230505900052025;8208239;SISRP;5;V;175;ÁLCOOL ETÍLICO, TEOR ALCOÓLICO: 70% V/V , COMPOSIÇÃO BÁSICA: COM EMOLIENTE , FORMA FARMACÊUTICA: GEL ;380018;null;L;GALÃO;GL;5,00;40,00;33,05;0,00;04063331000121;CIRURGICA UNIAO LTDA;Álcool Etílico"; Teor;102305;ESP-UNESP-FACUL.DE ODONTOLOGIA-C.ARARAQUARA;3503208;ARARAQUARA;SP;95571;ESP-UNIV EST PAUL.JULIO MESQ.FILHO-UNESP;E;E;2025-05-13 00:00:00.0;2025-05-14T01:10:12.908855;2025-05-14T03:04:19.632543;2025-05-13 00:00:00.0;2024-03-14T14:16;6505;DROGAS E MEDICAMENTOS
15590905000992023;4230977;SISRP;5;V;3;IODOPOVIDONA (PVPI), CONCENTRAÇÃO: A 10% ( TEOR DE IODO 1% ) , FORMA FARMACEUTICA: SOLUÇÃO TÓPICA AQUOSA ;398706;null;ML;FRASCO;FR;100,00;1.000,00;6,43;0,00;11888791000154;DISTRIBUIDORA FLAMED HOSPITALAR LTDA;Iodopovidona"; 10% (;155909;COMPLEXO HOSPITALAR UNIVERSITÁRIO DA UFPA;1501402;BELÉM;PA;26443;EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES;E;F;2023-12-19 00:00:00.0;2024-12-20T03:29:59.880941;2024-12-20T03:59:59.874650;2023-12-19 00:00:00.0;2025-03-18T12:57;6505;DROGAS E MEDICAMENTOS
8002106900182024;6040053;SISPP;6;1;3;FITOTERÁPICO, NOME CIENTÍFICO: CORDIA VERBENACEA (C. CURASSAVICA"; V. CURASSAVICA) , NOME POPULAR: ERVA BALEEIRA , FORMA FARMACÊUTICA: PREPARAÇÃO EXTEMPORÂNEA , APRESENTAÇÃO: SACHÊ OU ENVELOPE ;621237;null;;GRAMA;G;0,00;1,00;60,85;0,00;37117510000153;IRMAOS LIMA COLE PRODUTOS FARMACEUTICOS LTDA;acheflan/ache;080021;TRIBUNAL REGIONAL DO TRABALHO DA 21A. REGIAO;2408102;NATAL;RN;15000;JUSTICA DO TRABALHO;L;F;2024-10-08 00:00:00.0;2024-10-09T01:00:06.342366;2024-10-09T02:30:15.810386;2024-10-08 00:00:00.0;2025-09-22T12:40;6505;DROGAS E MEDICAMENTOS
92906905900062025;8111273;SISRP;5;V;66;FITOTERÁPICO, NOME CIENTÍFICO: CORDIA VERBENACEA (C. CURASSAVICA"; V. CURASSAVICA) , NOME POPULAR: ERVA BALEEIRA , FORMA FARMACÊUTICA: PREPARAÇÃO EXTEMPORÂNEA , APRESENTAÇÃO: SACHÊ OU ENVELOPE ;621237;null;;MILILITRO;ML;0,00;20,00;60,80;0,00;24578336000102;ROSINETE DA SILVA FARMACIA;DIVERSOS;929069;FUNDO MUNICIPAL DE SAÚDE DE ITAPETIM - PE;2607703;ITAPETIM;PE;94718;FUNDO MUNICIPAL DE SAÚDE DE ITAPETIM - PE;E;M;2025-04-30 00:00:00.0;2025-05-05T08:14:37.068626;2025-05-01T03:07:59.285575;2025-04-30 00:00:00.0;2024-04-07T15:14;6505;DROGAS E MEDICAMENTOS
98591905900462025;9249647;SISPP;5;V;22;FITOTERÁPICO, NOME CIENTÍFICO: CORDIA VERBENACEA (C. CURASSAVICA"; V. CURASSAVICA) , NOME POPULAR: ERVA BALEEIRA , FORMA FARMACÊUTICA: CREME ;622621;null;;GRAMA;G;0,00;2,00;1.170,00;0,00;15318347000154;D.S.E. INDUSTRIA E COMERCIO DE MOVEIS DE ACO LTDA;PROPRIA;985919;PREFEITURA MUNICIPAL DE TRES RIOS - RJ;3306008;TRÊS RIOS;RJ;99076;PREFEITURA MUNICIPAL DE TRES RIOS - RJ;E;M;2025-08-27 00:00:00.0;2025-08-28T01:10:09.452655;2025-08-28T03:01:00.826010;2025-08-27 00:00:00.0;2024-04-06T15:14;6505;DROGAS E MEDICAMENTOS
16030106900562025;8096578;SISPP;6;1;38;FITOTERÁPICO, NOME CIENTÍFICO: CORDIA VERBENACEA (C. CURASSAVICA"; V. CURASSAVICA) , NOME POPULAR: ERVA BALEEIRA , FORMA FARMACÊUTICA: PÓ PARA DISPERSÃO ORAL ;622624;null;;LITRO;L;0,00;1,00;54,45;0,00;37389688000153;GOMES FERNANDES MATERIAIS DE CONSTRUCAO LTDA;Edital;160301;COMISSAO REGIONAL DE OBRAS/1-RJ;3304557;RIO DE JANEIRO;RJ;52121;COMANDO DO EXERCITO;E;F;2025-04-30 00:00:00.0;2025-05-01T01:00:09.924956;2025-05-01T02:30:07.540243;2025-04-30 00:00:00.0;2025-08-22T11:02;6505;DROGAS E MEDICAMENTOS
98078005900032025;7828394;SISRP;5;V;263;METOCLOPRAMIDA CLORIDRATO, DOSAGEM: 4 MG/ML , APRESENTAÇÃO: SOLUÇÃO ORAL ;267311;null;ML;FRASCO;FR;10,00;945,00;1,56;0,00;47454600000193;GREEN MED DISTRIBUIDORA E IMPORTADORA DE MEDICAMENTOS E PRODUTOS PARA SAUDE LTDA;frasco 10
"
ml;980780;PREFEITURA MUNICIPAL DE PORTO REAL - RJ;3304110;PORTO REAL;RJ;99761;PREFEITURA MUNICIPAL DE PORTO REAL - RJ;E;M;2025-03-31 00:00:00.0;2025-04-01T02:00:10.925778;2025-04-01T03:02:30.681671;2025-03-31 00:00:00.0;2024-10-12T11:09;6505;DROGAS E MEDICAMENTOS
25005905000592023;4370249;SISRP;5;V;21;NISTATINA, DOSAGEM: 100.000 UI/ML , APRESENTAÇÃO: SUSPENSÃO ORAL ;267378;null;ML;FRASCO;FR;50,00;1.500,00;5,77;0,00;31504080000146;ESTEVIA DISTRIBUIDORA DE MEDICAMENTOS LTDA;FRASC C
"
/50ML;250059;INSTITUTO NACIONAL DE CARDIOLOGIA;3304557;RIO DE JANEIRO;RJ;36000;MINISTERIO DA SAUDE;E;F;2025-06-27 00:00:00.0;2025-06-28T01:10:17.857644;2025-06-28T03:00:05.682483;2025-06-27 00:00:00.0;2025-08-28T09:00;6505;DROGAS E MEDICAMENTOS
25005905900032025;8203920;SISRP;5;V;6;FUROSEMIDA, DOSAGEM: 40 MG;267663;null;;COMPRIMIDO;COMPR;0,00;304.200,00;0,06;0,00;47454600000193;GREEN MED DISTRIBUIDORA E IMPORTADORA DE MEDICAMENTOS E PRODUTOS PARA SAUDE LTDA;COMP C
"
/40MG;250059;INSTITUTO NACIONAL DE CARDIOLOGIA;3304557;RIO DE JANEIRO;RJ;36000;MINISTERIO DA SAUDE;E;F;2025-05-13 00:00:00.0;2025-05-14T01:10:12.490703;2025-05-14T03:02:06.660034;2025-05-13 00:00:00.0;2025-08-28T09:00;6505;DROGAS E MEDICAMENTOS
16036605900092024;6680586;SISRP;5;V;33;CLORETO DE SÓDIO, PRINCÍPIO ATIVO: 0,9%_ SOLUÇÃO INJETÁVEL , APLICAÇÃO: SISTEMA FECHADO ;268236;null;ML;FRASCO;FR;250,00;4.500,00;4,31;0,00;37931064000116;LEMED COMERCIO DE MATERIAL E MEDICAMENTOS HOSPITALARES LTDA;CAIXA COM 48
"
;160366;13 GRUPO DE ATILHARIA DE CAMPANHA/RS;4303004;CACHOEIRA DO SUL;RS;52121;COMANDO DO EXERCITO;E;F;2025-02-13 00:00:00.0;2025-02-14T02:00:18.114987;2025-02-14T03:00:39.337206;2025-02-13 00:00:00.0;2025-08-22T11:17;6505;DROGAS E MEDICAMENTOS
98078005900032025;7828371;SISRP;5;V;239;LIDOCAÍNA CLORIDRATO, DOSAGEM: 2% , APRESENTAÇÃO: GELÉIA ;269846;null;G;BISNAGA;BIS;30,00;1.400,00;5,05;0,00;47454600000193;GREEN MED DISTRIBUIDORA E IMPORTADORA DE MEDICAMENTOS E PRODUTOS PARA SAUDE LTDA;bisnaga 30
"
g;980780;PREFEITURA MUNICIPAL DE PORTO REAL - RJ;3304110;PORTO REAL;RJ;99761;PREFEITURA MUNICIPAL DE PORTO REAL - RJ;E;M;2025-03-31 00:00:00.0;2025-04-01T02:00:10.925778;2025-04-01T03:02:29.919400;2025-03-31 00:00:00.0;2024-10-12T11:09;6505;DROGAS E MEDICAMENTOS